Employee ID_recipient,Employee ID_adviser,go to reason,advice area count,energy level,Employment Type_recipient,Position Title_recipient,Date in service_recipient,On Site Frequency_recipient,Business Unit level 1_recipient,Business Unit level 2_recipient,Employment Type_adviser,Position Title_adviser,Date in service_adviser,On Site Frequency_adviser,Business Unit level 1_adviser,Business Unit level 2_adviser
3031823,2002895,"Navigating
Change,Career
Development,Delivering to
Customers",3,Goes up sharply,Hourly,Customer Service Representative 3,2022-12-19,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
2002934,2003148,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Salaried,Sr. Marketing Specialist II,2013-10-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
2003133,2002934,,0,Stays about the same,Salaried,"Sr. Manager, Brand Marketing",2012-06-18,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Marketing Specialist II,2013-10-16,Hybrid,Brand 2,Marketing - Brand 2
2002939,3009145,"Technical
Expertise",1,Goes up,Salaried,Product Sourcing Analyst II,2020-11-30,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,Industrial Engineer II,2021-07-06,Site Critical,Operations,Manufacturing Technology
3025961,2002605,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Software Development Engineer I,2022-08-29,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
2003109,2003156,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Lead Customer Service Representative 5,2021-01-25,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2
3020739,2002939,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2,Salaried,Product Sourcing Analyst II,2020-11-30,Hybrid,Brand 2,Product Merchandising - Brand 2
3019286,2002895,"Navigating
Change,Career
Development,Delivering to
Customers",3,Goes up,Hourly,Customer Service Representative 3,2022-01-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
3021660,3040598,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2,Salaried,"VP, GM Brand 2",2023-10-04,Fully Remote,Corporate,Leadership
3029349,2003137,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up sharply,Hourly,Customer Service Representative 4,2022-10-10,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2013-03-04,Hybrid,Brand 2,Customer Service - Brand 2
2003115,3044041,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,Social Media Specialist I,2021-03-01,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2
3023460,3022906,"Technical
Expertise",1,Goes up,Salaried,Principal Software Development Engineer,2022-07-25,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
3023032,3023460,"Career
Development,Delivering to
Customers,Technical
Expertise",3,Stays about the same,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Principal Software Development Engineer,2022-07-25,Fully Remote,Corporate,Engineering - Brand 2
2002910,2003156,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Hourly,Customer Service Representative 4,2020-05-26,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2
3042370,3040598,"Financial
Resources,Navigating
Change,Career
Development,Technical
Expertise",4,Goes up,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,"VP, GM Brand 2",2023-10-04,Fully Remote,Corporate,Leadership
2002909,3029814,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,Sr. Principal Designer - UX Design,2015-11-18,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2
3042739,3038672,"Navigating
Change,Technical
Expertise",2,Goes up sharply,Salaried,Sr. Principal Data Engineer,2024-01-16,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Data Engineer I,2023-09-18,Hybrid,Corporate,Engineering - Brand 2
3029814,2002909,"Navigating
Change",1,Goes up,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Designer - UX Design,2015-11-18,Hybrid,Corporate,Engineering - Brand 2
3033414,2003155,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Stays about the same,Salaried,Sr. Merchandising Specialist I,2023-04-10,Fully Remote,Brand 2,Product Merchandising - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
3043751,2003155,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up sharply,Salaried,Merchandising Specialist II,2024-03-18,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
2002724,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Stays about the same,Hourly,Lead Customer Service Representative 5,2020-06-16,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
3030382,3031524,"Financial
Resources,Navigating
Change",2,Goes down,Salaried,Principal Software Development Engineer,2022-11-14,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
2002893,2003156,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Customer Service Representative 4,2012-11-26,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2
2002643,2003148,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
2002895,2003173,"Financial
Resources,Navigating
Change,Career
Development",3,Goes up,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
3007231,2003018,"Navigating
Change,Career
Development,Delivering to
Customers",3,Goes up,Salaried,Merchandising Specialist I,2021-03-15,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Sr. Manager, Merchandising",2015-03-04,Hybrid,Brand 2,Product Merchandising - Brand 2
3034698,3031524,"Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",4,Goes up sharply,Salaried,Sr. Software Development Engineer I,2023-07-10,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
2002210,3029869,"Navigating
Change,Technical
Expertise",2,Goes up,Hourly,Customer Service Representative 4,2018-09-11,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
3022260,2003133,"Navigating
Change,Career
Development,Delivering to
Customers",3,Goes up,Salaried,Graphic Designer I,2022-06-20,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Manager, Brand Marketing",2012-06-18,Hybrid,Brand 2,Marketing - Brand 2
2002394,2002605,"Delivering to
Customers,Technical
Expertise",2,Goes up sharply,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3022906,3023460,"Navigating
Change,Technical
Expertise",2,Goes up,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Principal Software Development Engineer,2022-07-25,Fully Remote,Corporate,Engineering - Brand 2
3031620,2003133,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up,Salaried,Graphic Designer I,2022-12-05,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,"Sr. Manager, Brand Marketing",2012-06-18,Hybrid,Brand 2,Marketing - Brand 2
2003199,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up,Hourly,Customer Service Representative 4,2021-03-01,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2003155,3042370,"Financial
Resources,Delivering to
Customers",2,Goes up,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2
2003180,2003193,"Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",4,Goes up sharply,Hourly,Customer Service Representative 4,2019-08-20,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2
3040598,2003155,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Salaried,"VP, GM Brand 2",2023-10-04,Fully Remote,Corporate,Leadership,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
2003036,2003155,"Navigating
Change,Delivering to
Customers",2,Goes up,Salaried,"Director, Sales",2021-02-15,Hybrid,Brand 2,Sales - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
2003156,2002956,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up sharply,Salaried,"Manager, Customer Service",2015-03-09,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2003000,2002394,"Navigating
Change",1,Goes up,Salaried,Sr. Product Specialist I,2013-02-11,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2
2002435,2002956,"Financial
Resources,Navigating
Change,Delivering to
Customers,Technical
Expertise",4,Goes up,Hourly,Customer Service Representative 3,2020-09-03,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2002680,2002643,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,Collaborations Specialist I,2020-06-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Manager, Marketing",2021-05-03,Hybrid,Brand 2,Marketing - Brand 2
2003193,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Stays about the same,Salaried,"Spvsr, Customer Service I",2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
2000237,2003154,"Financial
Resources,Navigating
Change,Career
Development,Technical
Expertise",4,Goes up sharply,Salaried,Art Director II,2020-01-27,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Art Director II,2018-04-30,Hybrid,Corporate,Engineering - Brand 2
2002605,2002394,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up sharply,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Manager, Product Management",2015-03-13,Hybrid,Corporate,Engineering - Brand 2
3044059,3031524,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Salaried,"Sr. Manager, Engineering",2024-04-22,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
3022812,2002909,"Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",4,Goes up,Salaried,Designer II - UX Design,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Designer - UX Design,2015-11-18,Hybrid,Corporate,Engineering - Brand 2
3027478,2002605,"Navigating
Change,Delivering to
Customers",2,Goes up sharply,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3043340,2002605,"Delivering to
Customers",1,Stays about the same,Salaried,Software Development Engineer II,2024-02-20,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3043896,3044059,"Navigating
Change,Technical
Expertise",2,Goes up,Salaried,"Sr. Manager, Engineering",2024-04-01,Fully Remote,Brand 2,Engineering - Brand 2,Salaried,"Sr. Manager, Engineering",2024-04-22,Fully Remote,Corporate,Engineering - Brand 2
3037311,3031524,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Salaried,Sr. Principal Software Development Engineer,2023-08-28,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
3031524,2002605,"Delivering to
Customers,Technical
Expertise",2,Goes up sharply,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3030188,3029814,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,Designer II - UX Design,2022-10-31,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Director, UX Design",2022-10-31,Fully Remote,Corporate,Engineering - Brand 2
3029869,2003173,"Financial
Resources,Navigating
Change,Career
Development",3,Goes up sharply,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
2003137,3029869,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,"Spvsr, Customer Service I",2013-03-04,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
2003173,2002605,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3021784,2002895,"Navigating
Change,Delivering to
Customers",2,Goes up sharply,Hourly,Customer Service Representative 3,2022-05-09,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
3044041,2003018,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Manager, Merchandising",2015-03-04,Hybrid,Brand 2,Product Merchandising - Brand 2
2003136,2002895,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Hourly,Customer Service Representative 3,2021-02-22,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
2002937,3043340,"Technical
Expertise",1,Goes up,Salaried,Sr. Software Development Engineer I,2016-06-23,Hybrid,Corporate,Engineering - Brand 2,Salaried,Software Development Engineer II,2024-02-20,Fully Remote,Corporate,Engineering - Brand 2
2002620,3031620,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Graphic Designer I,2019-11-11,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Graphic Designer I,2022-12-05,Fully Remote,Brand 2,Marketing - Brand 2
2003171,2002895,"Navigating
Change,Delivering to
Customers",2,Goes up,Hourly,Customer Service Representative 4,2021-07-19,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
3042755,3042370,"Financial
Resources,Career
Development,Technical
Expertise",3,Stays about the same,Salaried,"Manager, CRM",2024-01-08,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,"Director, Growth - Brand 2",2023-11-27,Fully Remote,Brand 2,Marketing - Brand 2
3029366,2002895,"Navigating
Change,Delivering to
Customers",2,Goes up sharply,Hourly,Customer Service Representative 3,2022-10-10,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
2003209,2003018,"Navigating
Change,Delivering to
Customers",2,Stays about the same,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Sr. Manager, Merchandising",2015-03-04,Hybrid,Brand 2,Product Merchandising - Brand 2
3029900,2003209,"Financial
Resources,Navigating
Change,Delivering to
Customers",3,Goes down,Salaried,"Sr. Manager, Channel Marketing",2022-11-14,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2
2002166,2003193,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,Partner Marketing Specialist I,2014-09-29,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Spvsr, Customer Service I",2020-08-10,Hybrid,Brand 2,Customer Service - Brand 2
2003186,3027478,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,Product Specialist II,2014-03-26,Hybrid,Corporate,Engineering - Brand 2,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2
3004874,2002956,"Financial
Resources,Navigating
Change,Career
Development",3,Goes up,Hourly,Customer Service Representative 3,2022-09-12,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
3038672,3027478,"Financial
Resources,Navigating
Change,Delivering to
Customers",3,Goes up,Salaried,Sr. Data Engineer I,2023-09-18,Hybrid,Corporate,Engineering - Brand 2,Salaried,Product Manager,2022-09-12,Fully Remote,Corporate,Engineering - Brand 2
2002956,3029869,"Navigating
Change,Delivering to
Customers,Technical
Expertise",3,Goes up,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2
3029400,2002895,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Customer Service Representative 3,2022-10-17,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
3031823,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Hourly,Customer Service Representative 3,2022-12-19,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2003133,2003122,,0,Goes down,Salaried,"Sr. Manager, Brand Marketing",2012-06-18,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Graphic Designer II,2020-12-14,Hybrid,Brand 2,Marketing - Brand 2
2002939,2003209,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Salaried,Product Sourcing Analyst II,2020-11-30,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2
3025961,3031524,"Financial
Resources,Technical
Expertise",2,Stays about the same,Salaried,Sr. Software Development Engineer I,2022-08-29,Fully Remote,Corporate,Engineering - Brand 2,Salaried,"Director, Engineering",2022-11-28,Fully Remote,Corporate,Engineering - Brand 2
3020739,2003155,"Financial
Resources,Navigating
Change",2,Stays about the same,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
2003148,2003133,"Delivering to
Customers,Technical
Expertise",2,Goes up,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Manager, Brand Marketing",2012-06-18,Hybrid,Brand 2,Marketing - Brand 2
3019286,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Customer Service Representative 3,2022-01-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
3021660,2003155,"Delivering to
Customers",1,Stays about the same,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2,Salaried,"Director, Business Line",2018-11-05,Hybrid,Brand 2,Product Merchandising - Brand 2
2003115,2003148,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up,Salaried,Social Media Specialist I,2021-03-01,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Director, Marketing",2015-11-16,Hybrid,Brand 2,Marketing - Brand 2
3023460,3023032,"Technical
Expertise",1,Goes up,Salaried,Principal Software Development Engineer,2022-07-25,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
3023032,3022906,"Career
Development,Delivering to
Customers,Technical
Expertise",3,Stays about the same,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer II,2022-07-18,Fully Remote,Corporate,Engineering - Brand 2
