Employee ID_sender,Employee ID_receiver,relevanceScore,On Site Frequency_sender,Position Title_sender,Date in service_sender,Business Unit level 1_sender,Business Unit level 2_sender,On Site Frequency_receiver,Position Title_receiver,Date in service_receiver,Business Unit level 1_receiver,Business Unit level 2_receiver,Years in service_sender,Years in service_receiver
2003148,2003133,667.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,8.75,12.16
2003148,2003036,486.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,8.75,3.49
2003148,2002680,452.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Hybrid,Collaborations Specialist I,2020-06-16,Brand 2,Marketing - Brand 2,8.75,4.16
2003148,2003191,256.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Hybrid,"Director, Finance",2017-08-07,Corporate,Finance,8.75,7.02
2003148,3042370,200.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,8.75,0.71
2003148,3044041,162.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Hybrid,Sr. Social Media Specialist II,2024-04-08,Brand 2,Marketing - Brand 2,8.75,0.35
2003171,2002271,141.0,Fully Remote,Customer Service Representative 4,2021-07-19,Brand 2,Customer Service - Brand 2,Site Critical,Order Expediter 4,2017-04-10,Operations,Manufacturing-Brand 1,3.07,7.35
2003171,2002862,130.0,Fully Remote,Customer Service Representative 4,2021-07-19,Brand 2,Customer Service - Brand 2,Site Critical,Lead Machine Operator 5,2019-04-29,Operations,Manufacturing-Brand 1,3.07,5.3
2003171,3004561,55.0,Fully Remote,Customer Service Representative 4,2021-07-19,Brand 2,Customer Service - Brand 2,Site Critical,Shift Manager - Ops I,2020-10-19,Operations,Manufacturing-Brand 1,3.07,3.82
2003171,3042755,39.0,Fully Remote,Customer Service Representative 4,2021-07-19,Brand 2,Customer Service - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,3.07,0.6
2003171,3029869,9.0,Fully Remote,Customer Service Representative 4,2021-07-19,Brand 2,Customer Service - Brand 2,Hybrid,Workforce Analyst I,2013-03-05,Brand 2,Customer Service - Brand 2,3.07,11.45
2003156,2003173,641.0,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,9.44,10.4
2003156,2002893,454.0,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,Hybrid,Customer Service Representative 4,2012-11-26,Brand 2,Customer Service - Brand 2,9.44,11.72
2003156,3029869,276.0,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,Hybrid,Workforce Analyst I,2013-03-05,Brand 2,Customer Service - Brand 2,9.44,11.45
2003156,3021660,149.0,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,9.44,2.27
2003156,2003191,118.0,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,Hybrid,"Director, Finance",2017-08-07,Corporate,Finance,9.44,7.02
2003156,3040598,85.0,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership,9.44,0.86
2002680,2002643,3957.0,Hybrid,Collaborations Specialist I,2020-06-16,Brand 2,Marketing - Brand 2,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,4.16,3.28
2002680,2003148,1194.0,Hybrid,Collaborations Specialist I,2020-06-16,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,4.16,8.75
2002680,2003191,132.0,Hybrid,Collaborations Specialist I,2020-06-16,Brand 2,Marketing - Brand 2,Hybrid,"Director, Finance",2017-08-07,Corporate,Finance,4.16,7.02
3045090,3042755,147.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,0.1,0.6
3045090,3042370,138.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,0.1,0.71
3045090,2003018,118.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,0.1,9.45
3045090,3022260,108.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,0.1,2.15
3045090,2003155,98.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,0.1,5.78
3045090,2003133,98.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,0.1,12.16
3045090,3033414,98.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Fully Remote,Sr. Merchandising Specialist I,2023-04-10,Brand 2,Product Merchandising - Brand 2,0.1,1.35
3045090,2003209,98.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,0.1,8.79
3045090,3007231,98.0,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,0.1,3.42
3023460,3023032,19.0,Fully Remote,Principal Software Development Engineer,2022-07-25,Corporate,Engineering - Brand 2,Fully Remote,Sr. Software Development Engineer II,2022-07-18,Corporate,Engineering - Brand 2,2.05,2.07
3023460,2001659,1.0,Fully Remote,Principal Software Development Engineer,2022-07-25,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, Platform Architecture",2014-09-15,Corporate,Technology,2.05,9.92
3023460,2001504,1.0,Fully Remote,Principal Software Development Engineer,2022-07-25,Corporate,Engineering - Brand 2,Hybrid,"Director, Network Systems",2013-11-04,Corporate,Technology,2.05,10.78
2002605,3021660,3196.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,8.45,2.27
2002605,3031524,1525.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,8.45,1.71
2002605,2003155,1081.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,8.45,5.78
2002605,3029814,833.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,8.45,1.79
2002605,2002394,777.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,8.45,9.43
2002605,2003186,714.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Hybrid,Product Specialist II,2014-03-26,Corporate,Engineering - Brand 2,8.45,10.39
2002605,2003000,677.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,8.45,11.51
2002605,3043896,404.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Fully Remote,"Sr. Manager, Engineering",2024-04-01,Brand 2,Engineering - Brand 2,8.45,0.37
2002605,3043751,208.0,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,Hybrid,Merchandising Specialist II,2024-03-18,Brand 2,Product Merchandising - Brand 2,8.45,0.41
3023646,2002394,545.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,2.04,9.43
3023646,2003000,304.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,2.04,11.51
3023646,3021660,195.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,2.04,2.27
3023646,2003173,134.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,2.04,10.4
3023646,2003156,85.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,2.04,9.44
3023646,2002956,76.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2,2.04,7.25
3023646,2003193,47.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,"Spvsr, Customer Service I",2020-08-10,Brand 2,Customer Service - Brand 2,2.04,4.01
3023646,3029869,38.0,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2,Hybrid,Workforce Analyst I,2013-03-05,Brand 2,Customer Service - Brand 2,2.04,11.45
2002394,3021660,1129.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,9.43,2.27
2002394,2003000,795.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,9.43,11.51
2002394,2002605,540.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,9.43,8.45
2002394,2003155,353.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,9.43,5.78
2002394,2003191,231.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Hybrid,"Director, Finance",2017-08-07,Corporate,Finance,9.43,7.02
2002394,2003036,216.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,9.43,3.49
2002394,3040598,175.0,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership,9.43,0.86
2002910,2003173,503.0,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,4.22,10.4
2002910,2003018,270.0,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,4.22,9.45
2002910,2003209,267.0,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2,4.22,8.79
2002910,2002643,191.0,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,4.22,3.28
2002910,2003036,120.0,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,4.22,3.49
2002910,2003156,84.0,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2,4.22,9.44
3030188,3029814,711.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,1.79,1.79
3030188,2002605,231.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,1.79,8.45
3030188,2002909,205.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,1.79,8.74
3030188,2003133,143.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,1.79,12.16
3030188,2003018,140.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,1.79,9.45
3030188,3007231,96.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,1.79,3.42
3030188,2003155,77.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,1.79,5.78
3030188,2003036,55.0,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,1.79,3.49
2003133,2003148,1362.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,12.16,8.75
2003133,2002934,924.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,Sr. Marketing Specialist II,2013-10-16,Brand 2,Marketing - Brand 2,12.16,10.83
2003133,3022260,859.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,12.16,2.15
2003133,2003018,799.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,12.16,9.45
2003133,3042755,668.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,12.16,0.6
2003133,2003155,634.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,12.16,5.78
2003133,3042370,480.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2,12.16,0.71
2003133,2002620,457.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,Sr. Graphic Designer I,2019-11-11,Brand 2,Marketing - Brand 2,12.16,4.76
2003133,3044041,224.0,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,Hybrid,Sr. Social Media Specialist II,2024-04-08,Brand 2,Marketing - Brand 2,12.16,0.35
2003036,2003112,3919.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Hybrid,Sr. Account Service Manager I,2021-05-10,Brand 2,Sales - Brand 2,3.49,3.26
2003036,3025972,3078.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Fully Remote,Sr. Account Service Manager I,2022-08-22,Brand 2,Sales - Brand 2,3.49,1.98
2003036,3040598,2212.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership,3.49,0.86
2003036,2003155,2189.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,3.49,5.78
2003036,2003148,1597.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,3.49,8.75
2003036,3042755,1445.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,3.49,0.6
2003036,2003133,1036.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,3.49,12.16
2003036,3031509,879.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Fully Remote,Sr. Digital Marketing Specialist II,2022-12-05,Corporate,Marketing,3.49,1.69
2003036,3022260,855.0,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,3.49,2.15
3031620,2003133,311.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,1.69,12.16
3031620,3022260,97.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,1.69,2.15
3031620,2003122,79.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Hybrid,Graphic Designer II,2020-12-14,Brand 2,Marketing - Brand 2,1.69,3.67
3031620,2003148,60.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,1.69,8.75
3031620,3042755,57.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,1.69,0.6
3031620,2003018,37.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,1.69,9.45
3031620,2002643,29.0,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,1.69,3.28
3021784,2002271,81.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Site Critical,Order Expediter 4,2017-04-10,Operations,Manufacturing-Brand 1,2.27,7.35
3021784,2003173,71.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2,2.27,10.4
3021784,3042755,57.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,2.27,0.6
3021784,3020739,55.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Fully Remote,"Manager, Product Sourcing",2022-03-28,Brand 2,Product Merchandising - Brand 2,2.27,2.38
3021784,2002605,55.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2,2.27,8.45
3021784,3021660,37.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,2.27,2.27
3021784,3026127,36.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Fully Remote,Sr. Tax Analyst I,2022-08-29,Corporate,Finance,2.27,1.96
3021784,2003191,36.0,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2,Hybrid,"Director, Finance",2017-08-07,Corporate,Finance,2.27,7.02
3022812,2002909,29.0,Fully Remote,Designer II - UX Design,2022-07-18,Corporate,Engineering - Brand 2,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2,2.07,8.74
3022812,3029814,10.0,Fully Remote,Designer II - UX Design,2022-07-18,Corporate,Engineering - Brand 2,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2,2.07,1.79
3022812,2003018,10.0,Fully Remote,Designer II - UX Design,2022-07-18,Corporate,Engineering - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,2.07,9.45
3022812,2003155,10.0,Fully Remote,Designer II - UX Design,2022-07-18,Corporate,Engineering - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,2.07,5.78
3022812,3030188,9.0,Fully Remote,Designer II - UX Design,2022-07-18,Corporate,Engineering - Brand 2,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2,2.07,1.79
3027478,3042739,1138.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2,1.92,0.58
3027478,3021660,1078.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,1.92,2.27
3027478,3038672,817.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Hybrid,Sr. Data Engineer I,2023-09-18,Corporate,Engineering - Brand 2,1.92,0.9
3027478,2001983,497.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Hybrid,"Manager, Performance Analytics",2015-11-23,Corporate,Supply Chain,1.92,8.73
3027478,3031524,205.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,1.92,1.71
3027478,2001135,134.0,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,Hybrid,"Manager, Systems Engineering",2009-08-26,Corporate,Technology,1.92,14.98
